,Algorithm,Run,Step,vehicle,x,y
463,Lawnmower,0,115,3,34,25
464,Lawnmower,0,116,0,34,23
465,Lawnmower,0,116,1,38,26
466,Lawnmower,0,116,2,37,21
467,Lawnmower,0,116,3,34,26
468,Lawnmower,0,117,0,34,24
469,Lawnmower,0,117,1,38,27
470,Lawnmower,0,117,2,37,22
471,Lawnmower,0,117,3,34,27
472,Lawnmower,0,118,0,34,25
473,Lawnmower,0,118,1,38,28
474,Lawnmower,0,118,2,37,23
475,Lawnmower,0,118,3,34,28
476,Lawnmower,0,119,0,34,26
477,Lawnmower,0,119,1,38,29
478,Lawnmower,0,119,2,37,24
479,Lawnmower,0,119,3,34,29
480,Lawnmower,0,120,0,34,27
481,Lawnmower,0,120,1,38,30
482,Lawnmower,0,120,2,37,25
483,Lawnmower,0,120,3,34,30
484,Lawnmower,0,121,0,34,28
485,Lawnmower,0,121,1,38,31
486,Lawnmower,0,121,2,37,26
487,Lawnmower,0,121,3,34,31
488,Lawnmower,0,122,0,35,27
489,Lawnmower,0,122,1,39,30
490,Lawnmower,0,122,2,38,25
491,Lawnmower,0,122,3,35,30
492,Lawnmower,0,123,0,36,26
493,Lawnmower,0,123,1,40,29
494,Lawnmower,0,123,2,39,24
495,Lawnmower,0,123,3,36,29
496,Lawnmower,0,124,0,37,25
497,Lawnmower,0,124,1,41,28
498,Lawnmower,0,124,2,40,23
499,Lawnmower,0,124,3,37,28
500,Lawnmower,0,125,0,38,24
501,Lawnmower,0,125,1,42,27
502,Lawnmower,0,125,2,41,22
503,Lawnmower,0,125,3,38,27
504,Lawnmower,0,126,0,39,23
505,Lawnmower,0,126,1,43,26
506,Lawnmower,0,126,2,42,21
507,Lawnmower,0,126,3,39,26
508,Lawnmower,0,127,0,40,22
509,Lawnmower,0,127,1,44,25
510,Lawnmower,0,127,2,43,20
511,Lawnmower,0,127,3,40,25
512,Lawnmower,0,128,0,41,21
513,Lawnmower,0,128,1,45,24
514,Lawnmower,0,128,2,44,19
515,Lawnmower,0,128,3,41,24
516,Lawnmower,0,129,0,41,22
517,Lawnmower,0,129,1,45,25
518,Lawnmower,0,129,2,44,20
519,Lawnmower,0,129,3,41,25
520,Lawnmower,0,130,0,41,23
521,Lawnmower,0,130,1,45,26
522,Lawnmower,0,130,2,44,21
523,Lawnmower,0,130,3,41,26
524,Lawnmower,0,131,0,41,24
525,Lawnmower,0,131,1,45,27
526,Lawnmower,0,131,2,44,22
527,Lawnmower,0,131,3,41,27
