,Algorithm,Run,Step,Accumulated Reward,Disconnections
285,DRL,1,0,70.1616876773286,32
286,DRL,1,0,70.21776770950561,32
287,DRL,1,0,70.38647384351128,32
288,DRL,1,0,70.44206991677767,32
289,DRL,1,0,70.5035439713231,32
290,DRL,1,0,70.58416515153735,32
291,DRL,1,0,70.66901702570284,32
292,DRL,1,0,70.71296198666236,32
293,DRL,1,0,71.1843889483451,32
294,DRL,1,0,71.55041198302202,32
295,DRL,1,0,71.87645263552807,32
296,DRL,1,0,72.47847295787327,32
297,DRL,1,0,72.81967654369913,32
298,DRL,1,0,73.23739590123438,32
299,DRL,1,0,73.6560986106112,32
300,DRL,1,0,74.02733655229353,32
301,DRL,1,0,74.31910949383074,32
302,DRL,2,0,0.0,0
303,DRL,2,0,1.3633006239063312,0
304,DRL,2,0,2.563796088571701,0
305,DRL,2,0,3.320141143302474,0
306,DRL,2,0,4.429832980434451,0
307,DRL,2,0,5.59502019527093,0
308,DRL,2,0,6.834450743906728,0
309,DRL,2,0,8.338565665050087,0
310,DRL,2,0,9.742894136944503,0
311,DRL,2,0,11.492876791794544,0
312,DRL,2,0,13.330491269096532,0
313,DRL,2,0,15.247781600246977,0
314,DRL,2,0,17.209263130938517,0
315,DRL,2,0,19.027418718428276,0
316,DRL,2,0,20.97687749233466,0
317,DRL,2,0,22.891213544598784,0
318,DRL,2,0,23.457904903818413,2
319,DRL,2,0,24.097110824961707,4
320,DRL,2,0,24.637821243943694,6
321,DRL,2,0,25.866309216756292,6
322,DRL,2,0,26.505362742246533,6
323,DRL,2,0,26.982538398952627,6
324,DRL,2,0,27.56923580662809,6
325,DRL,2,0,28.23352763636486,6
326,DRL,2,0,28.8334528056981,6
327,DRL,2,0,29.498728471306823,6
328,DRL,2,0,30.002949714209176,6
329,DRL,2,0,29.488729493718623,8
330,DRL,2,0,29.49436899827198,8
331,DRL,2,0,29.536185432001194,8
332,DRL,2,0,29.610297051802995,8
333,DRL,2,0,29.72124845561604,8
334,DRL,2,0,29.846501006964527,8
335,DRL,2,0,30.37423910820997,8
336,DRL,2,0,31.05369898501898,8
337,DRL,2,0,31.77190243835059,8
338,DRL,2,0,32.50216120507394,8
339,DRL,2,0,33.48583612497722,8
340,DRL,2,0,34.393466664079256,8
341,DRL,2,0,34.94804621596975,8
342,DRL,2,0,35.2216470040988,8
343,DRL,2,0,35.320257953698786,8
344,DRL,2,0,35.30769548908089,8
345,DRL,2,0,35.29598295033866,8
346,DRL,2,0,35.31517363162411,8
347,DRL,2,0,35.4585381824747,8
348,DRL,2,0,35.94474044333915,8
349,DRL,2,0,36.48792228681135,8
350,DRL,2,0,37.047753266379786,8
351,DRL,2,0,37.60866557568136,8
352,DRL,2,0,38.25263867558132,8
353,DRL,2,0,38.72283493357259,8
354,DRL,2,0,39.13096913795795,8
355,DRL,2,0,39.63456090395543,8
356,DRL,2,0,40.17013630925279,8
357,DRL,2,0,40.479773689020035,8
358,DRL,2,0,40.77960457939243,8
359,DRL,2,0,41.17727588744423,8
360,DRL,2,0,41.5240711143758,8
361,DRL,2,0,41.88761789040229,8
362,DRL,2,0,42.28925338187775,8
363,DRL,2,0,42.64024576917194,8
364,DRL,2,0,43.173777413351786,8
365,DRL,2,0,43.60494978998978,8
366,DRL,2,0,43.89686454528202,8
367,DRL,2,0,43.96203299806644,8
368,DRL,2,0,44.021424494098916,8
369,DRL,2,0,44.07711307467152,8
370,DRL,2,0,44.165516855318145,8
