,Algorithm,Run,Step,vehicle,x,y
474,DRL,0,118,2,16,20
475,DRL,0,118,3,30,19
476,DRL,0,119,0,16,12
477,DRL,0,119,1,37,31
478,DRL,0,119,2,16,19
479,DRL,0,119,3,29,19
480,DRL,0,120,0,17,12
481,DRL,0,120,1,38,30
482,DRL,0,120,2,15,19
483,DRL,0,120,3,28,19
484,DRL,0,121,0,18,11
485,DRL,0,121,1,39,30
486,DRL,0,121,2,14,19
487,DRL,0,121,3,28,18
488,DRL,0,122,0,19,10
489,DRL,0,122,1,40,30
490,DRL,0,122,2,13,19
491,DRL,0,122,3,28,17
492,DRL,0,123,0,20,10
493,DRL,0,123,1,41,30
494,DRL,0,123,2,12,19
495,DRL,0,123,3,27,18
496,DRL,0,124,0,21,10
497,DRL,0,124,1,42,29
498,DRL,0,124,2,11,19
499,DRL,0,124,3,26,18
500,DRL,0,125,0,22,10
501,DRL,0,125,1,42,28
502,DRL,0,125,2,11,18
503,DRL,0,125,3,25,18
504,DRL,0,126,0,23,10
505,DRL,0,126,1,42,27
506,DRL,0,126,2,11,17
507,DRL,0,126,3,24,18
508,DRL,0,127,0,24,10
509,DRL,0,127,1,42,26
510,DRL,0,127,2,11,16
511,DRL,0,127,3,23,18
512,DRL,0,128,0,25,10
513,DRL,0,128,1,42,25
514,DRL,0,128,2,11,15
515,DRL,0,128,3,22,18
516,DRL,0,129,0,26,10
517,DRL,0,129,1,42,24
518,DRL,0,129,2,12,14
519,DRL,0,129,3,21,19
520,DRL,0,130,0,27,10
521,DRL,0,130,1,42,23
522,DRL,0,130,2,13,15
523,DRL,0,130,3,20,20
524,DRL,0,131,0,28,9
525,DRL,0,131,1,42,22
526,DRL,0,131,2,14,16
527,DRL,0,131,3,21,20
528,DRL,0,132,0,29,9
529,DRL,0,132,1,42,21
530,DRL,0,132,2,15,15
531,DRL,0,132,3,22,21
532,DRL,0,133,0,30,9
533,DRL,0,133,1,42,20
534,DRL,0,133,2,16,15
535,DRL,0,133,3,23,22
536,DRL,0,134,0,31,9
537,DRL,0,134,1,42,19
538,DRL,0,134,2,17,15
539,DRL,0,134,3,24,23
540,DRL,0,135,0,32,10
541,DRL,0,135,1,42,18
542,DRL,0,135,2,18,15
543,DRL,0,135,3,24,24
544,DRL,0,136,0,32,11
545,DRL,0,136,1,42,19
546,DRL,0,136,2,19,16
547,DRL,0,136,3,25,25
548,DRL,0,137,0,32,12
549,DRL,0,137,1,41,20
550,DRL,0,137,2,20,17
551,DRL,0,137,3,26,26
552,DRL,0,138,0,33,13
553,DRL,0,138,1,40,21
554,DRL,0,138,2,19,18
555,DRL,0,138,3,26,25
556,DRL,0,139,0,34,13
557,DRL,0,139,1,39,22
558,DRL,0,139,2,18,18
559,DRL,0,139,3,27,24
560,DRL,0,140,0,35,12
561,DRL,0,140,1,38,22
562,DRL,0,140,2,17,19
563,DRL,0,140,3,27,23
564,DRL,0,141,0,35,11
565,DRL,0,141,1,37,22
566,DRL,0,141,2,16,19
567,DRL,0,141,3,28,22
568,DRL,0,142,0,35,10
569,DRL,0,142,1,36,22
570,DRL,0,142,2,15,19
571,DRL,0,142,3,29,23
572,DRL,0,143,0,34,10
573,DRL,0,143,1,35,22
574,DRL,0,143,2,14,19
575,DRL,0,143,3,30,24
576,DRL,0,144,0,33,10
577,DRL,0,144,1,35,21
578,DRL,0,144,2,15,19
579,DRL,0,144,3,29,25
580,DRL,0,145,0,32,10
581,DRL,0,145,1,35,20
582,DRL,0,145,2,16,20
583,DRL,0,145,3,29,26
584,DRL,0,146,0,31,10
585,DRL,0,146,1,35,19
586,DRL,0,146,2,15,20
587,DRL,0,146,3,30,26
588,DRL,0,147,0,30,11
589,DRL,0,147,1,35,18
590,DRL,0,147,2,14,20
591,DRL,0,147,3,30,27
592,DRL,0,148,0,29,11
593,DRL,0,148,1,35,17
594,DRL,0,148,2,13,20
595,DRL,0,148,3,31,27
596,DRL,0,149,0,28,11
597,DRL,0,149,1,35,16
598,DRL,0,149,2,12,20
599,DRL,0,149,3,32,26
600,DRL,0,150,0,27,11
601,DRL,0,150,1,34,16
602,DRL,0,150,2,11,20
603,DRL,0,150,3,33,25
604,DRL,0,151,0,26,11
605,DRL,0,151,1,33,16
606,DRL,0,151,2,10,20
607,DRL,0,151,3,34,24
608,DRL,0,152,0,26,10
609,DRL,0,152,1,32,16
610,DRL,0,152,2,9,20
611,DRL,0,152,3,35,24
612,DRL,0,153,0,26,9
613,DRL,0,153,1,31,16
